epoch,train_loss,valid_loss,train_r2,valid_r2
1,0.9501602021269143,0.5802570581436157,0.04911481961607933,0.027482781559228897
2,0.9124441105908099,0.6093663573265076,0.08660261332988739,-0.005040381103754044
3,0.8999072147634464,0.5820534825325012,0.09934305399656296,0.022193996235728264
4,0.8903044980174055,1.2218877077102661,0.10946989804506302,-0.6744948029518127
5,0.8675845135419894,0.587577760219574,0.13148707151412964,0.018541907891631126
6,0.8520610936152668,1.0747746229171753,0.15156953036785126,-0.4950253963470459
7,0.8216177178933598,0.63434237241745,0.17744988203048706,-0.028996730223298073
8,0.7928350902022645,0.5344010591506958,0.20629461109638214,0.07554290443658829
9,0.7714636516266357,0.6041122674942017,0.22756454348564148,0.0034545159433037043
10,0.7587211233453629,0.514495849609375,0.24032489955425262,0.10047067701816559
11,0.7522957289752107,0.4819820523262024,0.2468167096376419,0.13593341410160065
12,0.7421462299724737,0.5198604464530945,0.25701555609703064,0.09267745912075043
13,0.7360758506737578,0.5684226155281067,0.2630859613418579,0.04172710329294205
14,0.7318501330602664,0.6514211297035217,0.2688778042793274,-0.044421158730983734
15,0.7268332196310305,0.35855576395988464,0.2724466621875763,0.2672734558582306
16,0.7224407398853058,0.6784685254096985,0.27812695503234863,-0.07411784678697586
17,0.7201966891844813,0.6875944137573242,0.27918723225593567,-0.08261405676603317
18,0.7147513291182609,0.6670611500740051,0.28447747230529785,-0.06477172672748566
19,0.7122896171796816,0.5999997854232788,0.28689804673194885,0.00200186250731349
20,0.7097896090902078,0.4678853154182434,0.2894574999809265,0.14974693953990936
21,0.7043786756575298,0.5014520883560181,0.29479214549064636,0.11907321959733963
22,0.7041971380242144,0.4392053186893463,0.29516589641571045,0.18288923799991608
23,0.7019032980925359,0.6705828309059143,0.2972574234008789,-0.07092594355344772
24,0.6970213904215125,0.5994307994842529,0.30229294300079346,0.012361855246126652
25,0.6945299574266226,0.8792409896850586,0.3050626814365387,-0.2882019877433777
