epoch,train_loss,valid_loss,train_r2,valid_r2
1,0.9494107634114762,0.9527574777603149,0.05099613592028618,-0.0003198885824531317
2,0.9152159608971958,0.917685329914093,0.08397731184959412,0.035417694598436356
3,0.8989063410903699,0.9045520424842834,0.10090886056423187,0.049463555216789246
4,0.8788888477288876,0.9189985394477844,0.12075778841972351,0.03459908440709114
5,0.8640118565041417,0.883653998374939,0.13535289466381073,0.07013712078332901
6,0.8467610599324346,0.8924447298049927,0.15233542025089264,0.06180136650800705
7,0.8399081751942253,1.0124783515930176,0.1592337191104889,-0.05780895799398422
8,0.827783817871691,0.8977436423301697,0.17123106122016907,0.056830935180187225
9,0.8164551475177557,25.079227447509766,0.18303056061267853,-23.895727157592773
10,0.8021567131098086,0.8890737295150757,0.1987365335226059,0.06362633407115936
11,0.7708589882610705,1.0724196434020996,0.22843456268310547,-0.1158912181854248
12,0.7538721063456977,0.9138699769973755,0.2457236647605896,0.039354223757982254
13,0.7389485701299704,0.9822558760643005,0.2610054314136505,-0.027203908190131187
14,0.7190758500712368,1.9444233179092407,0.2817707657814026,-0.9858712553977966
15,0.7045726427159751,0.9553917646408081,0.2946859896183014,-0.0009863042505457997
