index,filename,model,einsteinradius,ellipseratio,orientation,lens,source,R,phi,sigma,sigma2,theta,n_sersic,luminosity,x,y
1,image-000001.png,Raytrace,55.8291,0.8939,6.0957,SIE,SersicSphere,18.6628,291.8020,19.4660,14.0982,85.1894,4.5233,60.2296,6.9314,-17.3279
2,image-000002.png,Raytrace,34.5147,0.6636,71.8884,SIE,SersicSphere,33.3540,153.5332,25.5901,31.0009,136.9616,3.8856,73.1296,-29.8582,14.8652
3,image-000003.png,Raytrace,18.4128,0.4651,156.4772,SIE,SersicSphere,13.1014,218.0889,43.5978,35.1279,175.9748,4.6972,48.4958,-10.3115,-8.0820
4,image-000004.png,Raytrace,30.8403,0.1702,88.8936,SIE,SersicSphere,35.4366,276.1621,11.4487,3.4746,38.4127,3.3228,74.1488,3.8038,-35.2318
5,image-000005.png,Raytrace,3.1714,0.1826,21.9213,SIE,SersicSphere,3.4714,217.2664,19.1012,1.5503,109.7486,3.7862,32.6134,-2.7626,-2.1020
6,image-000006.png,Raytrace,14.9599,0.7865,160.7141,SIE,SersicSphere,14.2870,323.6950,28.9592,26.1754,154.8997,3.4736,59.2441,11.5136,-8.4591
7,image-000007.png,Raytrace,70.6838,0.7296,46.2396,SIE,SersicSphere,47.7405,269.6816,6.0997,32.5499,55.7103,1.1248,43.9159,-0.2653,-47.7398
8,image-000008.png,Raytrace,56.3605,0.1039,172.5275,SIE,SersicSphere,13.5557,25.8212,46.6439,29.3872,29.8401,2.5009,59.5086,12.2023,5.9044
9,image-000009.png,Raytrace,52.6723,0.6453,150.5271,SIE,SersicSphere,17.9201,347.0451,29.5511,35.7030,45.6034,4.6062,24.6176,17.4640,-4.0174
10,image-000010.png,Raytrace,29.5010,0.7941,4.2204,SIE,SersicSphere,30.9435,221.4535,30.6962,38.4728,15.4988,4.6781,51.8003,-23.1920,-20.4850
11,image-000011.png,Raytrace,14.4504,0.3709,54.1035,SIE,SersicSphere,7.4975,334.8450,11.5793,1.9773,107.2933,1.9739,23.8719,6.7865,-3.1870
12,image-000012.png,Raytrace,14.6227,0.4787,58.9655,SIE,SersicSphere,16.0305,62.9080,17.5983,2.8633,98.1417,4.1377,44.2543,7.3006,14.2715
13,image-000013.png,Raytrace,44.9539,0.2593,79.6653,SIE,SersicSphere,8.3656,214.7425,21.8015,20.9089,41.6039,4.2993,79.7793,-6.8742,-4.7675
14,image-000014.png,Raytrace,17.2431,0.5257,28.2989,SIE,SersicSphere,3.9213,14.6148,33.0088,19.5218,0.8925,1.6372,74.7952,3.7944,0.9894
15,image-000015.png,Raytrace,49.1670,0.8965,61.0472,SIE,SersicSphere,14.1529,272.1337,22.9529,22.9173,138.6084,3.0553,20.9302,0.5269,-14.1431
16,image-000016.png,Raytrace,64.5886,0.4697,71.1247,SIE,SersicSphere,74.4149,158.4922,6.9988,10.7958,19.2277,3.8751,25.6172,-69.2332,27.2826
17,image-000017.png,Raytrace,25.9487,0.7656,121.3786,SIE,SersicSphere,14.7143,329.5290,23.8799,14.7727,161.6395,1.5168,59.2144,12.6821,-7.4617
18,image-000018.png,Raytrace,4.9239,0.4140,5.2066,SIE,SersicSphere,1.4817,67.1277,10.0988,38.2940,54.3883,4.1275,69.4752,0.5759,1.3652
19,image-000019.png,Raytrace,11.1641,0.8456,104.5272,SIE,SersicSphere,10.3994,74.5387,28.2199,23.8814,155.5793,2.1283,65.1982,2.7724,10.0231
20,image-000020.png,Raytrace,39.8840,0.2458,89.9358,SIE,SersicSphere,44.8700,171.4197,48.3037,23.8862,153.2583,1.5583,65.9834,-44.3678,6.6944
21,image-000021.png,Raytrace,51.2421,0.4366,19.8302,SIE,SersicSphere,18.7859,16.2538,48.3361,20.1476,30.2511,3.8185,43.7388,18.0351,5.2581
22,image-000022.png,Raytrace,32.2216,0.3345,142.1433,SIE,SersicSphere,13.9438,307.2002,22.2276,24.9808,89.6277,4.5938,64.1224,8.4304,-11.1066
23,image-000023.png,Raytrace,61.7639,0.4965,95.9215,SIE,SersicSphere,70.8511,298.5859,6.4100,16.4214,94.6541,2.2215,54.1333,33.9006,-62.2144
