filename,sigma,xiX,xiY,alpha[0][1],beta[0][1],alpha[1][0],alpha[1][2],beta[1][2],alpha[2][1],beta[2][1],alpha[2][3],beta[2][3],alpha[3][0],alpha[3][2],beta[3][2],alpha[3][4],beta[3][4],alpha[4][1],beta[4][1],alpha[4][3],beta[4][3],alpha[4][5],beta[4][5]
image-009648.png,46.0597,-93.576805,-167.05725,113.92549,169.40477,-0.34175152,-0.12889554,0.31651235,-0.0009577822,-0.0014242016,-0.0016802596,0.00034989347,-2.8731365e-06,4.3345476e-06,-1.0643796e-05,-1.0278625e-05,-1.0036076e-05,-2.6840548e-08,-3.9911328e-08,1.17717484e-07,-2.4513227e-08,3.0373908e-08,-1.6557688e-07
image-009190.png,22.1847,-131.35858,-125.77579,156.03377,125.65974,-0.5001281,0.10661456,0.4886322,-0.002917148,-0.0023492868,-0.001673425,0.0033509028,-9.350206e-06,-7.972902e-06,-3.6541132e-05,-4.2501983e-05,1.9474097e-05,-1.8179298e-07,-1.464046e-07,2.607143e-07,-5.2206013e-07,-7.9189283e-07,-2.0080432e-07
image-001122.png,18.363201,61.158016,130.42242,-71.63079,-149.33453,-0.44223675,-0.27680063,0.34489816,0.0015320632,0.0031940173,0.0034499327,0.0008043207,-9.4587085e-06,2.3681221e-05,-2.9507195e-05,-1.0237733e-05,-4.6172157e-05,1.0922763e-07,2.2771574e-07,-6.1490266e-07,-1.4335902e-07,-6.953506e-07,5.4576134e-07
image-008331.png,27.819,-131.86688,-34.0638,174.42137,40.989716,-0.39148903,0.3505107,0.1743729,-0.0024981296,-0.0005870705,0.0019751564,0.0016383106,-5.6070558e-06,-2.0080595e-05,-9.989743e-06,1.6911466e-05,2.2360218e-05,-1.192639e-07,-2.8027497e-08,-2.357412e-07,-1.955376e-07,1.7355963e-07,3.9210005e-07
image-008021.png,33.7703,-107.599075,61.666622,110.84574,-55.370975,-0.4457293,0.26770467,-0.35638297,-0.0043032565,0.0021496136,0.0008658082,-0.004731726,-1.7304115e-05,-4.1571355e-05,5.5342047e-05,-2.410128e-05,-8.309597e-05,-5.568705e-07,2.7817455e-07,-2.801036e-07,1.5307935e-06,-1.4780028e-06,-1.6006903e-06
image-003350.png,36.9127,82.85242,-120.13271,-84.90073,137.87358,-0.51270217,-0.23077904,-0.45782584,0.0025537342,-0.0041471077,0.004852724,0.0004136906,-1.5421601e-05,2.776647e-05,5.5083896e-05,-4.586219e-05,6.198632e-05,2.5604646e-07,-4.1580378e-07,-1.2163782e-06,-1.03695214e-07,-6.368927e-07,-1.5860048e-06
image-001348.png,7.821001,-116.84802,-116.47724,118.99744,148.39058,-0.4579786,-0.09948618,0.4470424,-0.0020695643,-0.0025807603,-0.0029687025,0.001459529,-7.965014e-06,6.920924e-06,-3.1099262e-05,-3.6066514e-05,-1.6889142e-05,-1.1997729e-07,-1.4961246e-07,4.3025588e-07,-2.1153042e-07,-1.5822133e-07,-6.5230506e-07
image-004989.png,29.4748,-35.02322,129.09235,26.887041,-151.89995,-0.3884646,-0.36486232,-0.13334258,-0.0005115098,0.002889805,-0.0014723729,0.0025386482,-7.390305e-06,2.7765143e-05,1.014705e-05,2.8243956e-05,2.382634e-05,-3.2437217e-08,1.8325602e-07,2.3342506e-07,-4.024688e-07,5.003491e-07,-4.1704772e-07
image-009490.png,43.1449,100.571884,3.124321,-116.34322,3.2073243,-0.3839779,0.38339472,-0.021154758,0.0037989423,-0.000104728395,-0.0037874028,0.00031386706,-1.2537988e-05,-5.007579e-05,2.7630558e-06,6.230938e-05,-6.8971485e-06,4.1348818e-07,-1.1398951e-08,1.0305804e-06,-8.540556e-08,-1.4340337e-06,1.9887604e-07
image-001148.png,13.3544,7.2612953,-26.75958,-17.214025,110.590225,-0.40686652,-0.38761717,-0.123666085,0.00068245985,-0.004384413,0.0019828037,-0.003969549,-1.6130456e-05,6.146922e-05,1.9611252e-05,6.575031e-05,4.670855e-05,9.018838e-08,-5.794086e-07,-6.550782e-07,1.3114587e-06,-1.4317803e-06,1.4704235e-06
