filename,sigma,sigma2,theta,xiX,xiY,alpha[0][1],beta[0][1],alpha[1][0],alpha[1][2],beta[1][2],alpha[2][1],beta[2][1],alpha[2][3],beta[2][3],alpha[3][0],alpha[3][2],beta[3][2],alpha[3][4],beta[3][4],alpha[4][1],beta[4][1],alpha[4][3],beta[4][3],alpha[4][5],beta[4][5]
image-000001.png,3.9415790392894814,3.533523599039891,144.2209325437981,-128.96640274441907,76.61279045346198,59.65968643514024,-62.29955645703804,-0.277473138200406,0.1011651637406488,-0.2578395231819516,-0.0007148887248718,0.0026059824351692,-0.0009930709501791,-0.0018757379015687,-1.3488090659605266e-05,1.4488470159265044e-05,1.674303761103856e-05,-2.320070910067354e-05,-9.631495187454307e-06,-3.753765797245453e-07,5.751032001227649e-08,3.8359632467540827e-07,-2.947557795151377e-08,-4.1154145986132434e-07,9.916319386392825e-08
image-000002.png,2.8836066971529237,6.13570593396399,32.86667418600744,-53.79969495005674,-118.21730436189516,6.632432276832258,83.26225509999463,-0.3040928166676701,-0.2272206080692493,0.2017059914106228,0.0015753990386149,-0.0042137274476044,-0.0025352544408765,-0.0024322465325113,-6.786544303483403e-05,1.891782924999713e-05,5.6777208385921774e-05,3.21341312795301e-05,-4.06080319968764e-05,1.7985151056448526e-06,-3.333736774133031e-06,-1.6347873215604991e-06,-8.610212424339497e-07,7.37510109394257e-07,3.838150867959503e-07
image-000003.png,1.4989101545358658,11.621803610970971,136.55221863353094,147.45360412639252,8.109638957737776,-90.59362687738434,-5.862418775383631,-0.2725904731256998,0.2695192194870658,0.0406512996863774,0.0028685849363204,7.030412344453322e-05,-0.0028040864093668,-0.0005912061105051,-1.5028643298394831e-05,-3.3554877309833285e-05,-2.3104207776408425e-06,4.6779659656665e-05,1.3021851730657912e-05,5.236830972975384e-07,4.952060239332967e-08,6.205277259284375e-07,6.262191538013265e-08,-1.0812250367022442e-06,-3.773674003656288e-07
image-000004.png,2.7880165044169223,19.68144708707676,50.11738144846367,11.730057603735048,120.05245270053308,14.395025579709545,-71.50591189682497,-0.1724037249053322,-0.1695450633685677,-0.011904405820876,-0.0008326920184508,0.0024152369087618,-0.0005605959845575,0.0023332548975165,-2.927935563492777e-05,2.170275310725692e-05,2.3411271329873808e-05,4.781576538981702e-05,2.128704530384654e-05,-6.268894742713396e-07,1.405843934436491e-06,6.00521452009298e-07,-5.8171104659206077e-08,9.037345396833395e-07,-1.3098147776621488e-06
image-000005.png,3.944708893371408,13.57669915624348,9.069568715894476,-96.3918263991208,95.74309201570604,38.83535573634098,-55.642409680118746,-0.2389755236424001,-0.0770406010933066,-0.2259850018904285,-0.0013227115609873,0.0019556615377699,-0.0022636021854308,-0.0006534163403053,-5.801993048147313e-06,1.191816220943538e-05,3.162768361192988e-05,-3.0771091097759084e-05,2.4734869992551616e-05,-1.0551303831505613e-07,1.5622649602717873e-07,7.21737596794983e-07,1.9149241277563243e-07,5.9225255075646436e-08,9.295824879844512e-07
image-000006.png,3.5304897929118715,14.345547492433818,70.48455119847777,-28.52949600119278,167.0543960066149,0.2177208815926681,-82.30999016631384,-0.2933515690759271,-0.2817584367652576,-0.068129639411624,0.0008804459806735,0.0029327729218888,-0.0006488215340862,0.0026848349034603,-8.414155147018265e-06,4.138984244200108e-05,-1.1628390760485384e-05,4.277726831567008e-05,1.3562115803537264e-05,-4.197099301710967e-07,2.964605527755381e-07,-4.012815433714641e-07,-8.91084534055389e-07,3.685054453464048e-07,-9.402528695857436e-07
image-000007.png,3.941607745634815,20.613578649221807,42.98718147342954,109.5502341979758,134.87321119683696,-73.9453908979504,-72.36333848384206,-0.3376087477903547,0.0245021273953765,0.3316526701610373,0.0020074633598988,0.0022055917933159,0.0018128809068403,-0.0022372271071577,-5.707600021763715e-06,1.4831274372138993e-06,-3.939240603937045e-05,-4.213605265582197e-05,6.379715908956358e-06,1.6300467538870737e-07,9.25830314993868e-08,-5.71618075323017e-07,5.266604030148424e-07,7.37613978525756e-07,4.818981471209187e-07
image-000008.png,2.836276845384392,35.99295906186701,161.80419374344763,-165.58085583302747,-6.176637385838987,91.99209736607897,32.85156576444885,-0.1600918405086356,0.1377524160372049,0.0629829295415553,-0.0012915245819132,-0.0001298246772703,0.0009464600067013,0.0006379454461947,-1.1934779037127686e-05,-3.266515981074596e-06,1.070760211095927e-06,8.281934764818018e-06,7.398424051746519e-06,-3.269724709546041e-07,-1.849305924016274e-08,7.696778143732715e-08,8.90094509057038e-08,8.192384580660027e-08,8.023987925635712e-08
image-000009.png,3.675275720516601,37.96400898646359,111.6972089224586,178.39008932195563,49.46570116969173,-91.65840382378984,-43.47862250705689,-0.2208266840413424,0.2042988373155454,0.0829549108894726,0.0015887870817446,0.0009259470905286,-0.0013364593941438,-0.0011205479571888,-8.753773099937598e-06,-8.651916019511709e-06,-1.2312573729573778e-05,1.229631351132908e-05,1.7901933455078516e-05,1.8218015188987897e-07,2.229234346224427e-07,8.868601390664142e-08,1.3357680220568062e-07,-1.4246386432951758e-07,-3.46680731222155e-07
image-000010.png,3.2701730349286944,6.141214681915602,28.644067243265667,76.85267401857683,-174.0875127221315,-16.313792711258934,80.2627925940778,-0.0989567651513781,-0.0784115300464902,-0.0528988325478147,9.016795682961404e-05,-0.0007857975439477,0.0005215049795634,-0.0004855995277973,-4.078468370302323e-06,5.598255577247228e-06,1.397108821299382e-06,4.011065336163905e-06,7.157668170400656e-06,1.4896168476811857e-08,-1.0667991632322622e-07,-2.2993536571160972e-08,5.6612233428738983e-08,-1.2289721035028085e-07,3.3782182541896736e-08
