index,filename,model,cluster,source,R,phi,sigma,sigma2,theta,n_sersic,luminosity,x,y
1,image-000001.png,Raytrace,SIS/0.3755447723619994/-0.5962548959819424/8.767915677062497;SIS/-20.445294264906543/0.5970363615080728/28.18706044356752;SIS/-6.951019023601247/0.8193907587840895/17.964323201211673;SIS/-7.274003757080857/26.79404801505869/56.924223626754454,SersicSphere,77.1545,57.7785,37.5999,6.4633,148.7925,3.7599,73.3328,41.1383,65.2721
2,image-000002.png,Raytrace,SIS/1.2949108331996981/-0.10641451196936104/33.65318906521245;SIS/-23.44770976875386/7.379849983962211/53.27552285577673;SIS/4.251145240597138/11.736921981208871/11.1765048451932;SIS/-22.464886768331805/8.662797314134643/46.74420673463884,SersicSphere,78.6473,12.5248,30.1308,18.0003,79.2929,3.1495,31.9021,76.7756,17.0556
3,image-000003.png,Raytrace,SIS/5.080747169390809/1.1269389123816858/6.898780165987394;SIS/-16.144889573236398/26.367678767645092/44.03074668908651;SIS/20.037505538136912/-41.08806649141996/53.90725074328115;SIS/0.4795592561576312/3.2051521220777888/5.83640422981914,SersicSphere,7.2770,34.9388,9.1713,34.0809,6.9170,1.0121,39.6909,5.9654,4.1675
4,image-000004.png,Raytrace,SIS/18.70832345854135/-3.5039285126945474/17.487392445252496;SIS/15.236193463863689/11.709383424608829/28.875779209274857;SIS/-22.688080240509915/-55.25147593502707/54.08136140025289;SIS/-59.390066237582566/-8.168145096673042/53.73249254328832,SersicSphere,68.2921,121.0170,11.7393,4.3537,25.6022,2.2504,33.8045,-35.1904,58.5273
5,image-000005.png,Raytrace,SIS/-15.50666115838316/4.1439099675355076/50.54396875342364;SIS/9.351245827345538/16.429771605306733/49.49158801806368;SIS/6.500804874555004/-25.927926330545713/48.45052563900393;SIS/-1.422118610931854/-2.862399786080032/7.502480653863851,SersicSphere,49.2697,325.8547,14.0543,25.4068,60.3106,2.4870,50.6827,40.7764,-27.6548
6,image-000006.png,Raytrace,SIS/2.4037129551860477/-1.7315116084964786/16.8099315779304;SIS/-20.330391331536983/8.249741652853352/41.01055606641545;SIS/36.91805304698843/-24.953962425230312/68.30766796895935;SIS/35.809044735665466/-23.3964229170736/72.58134419516091,SersicSphere,53.1001,296.0699,37.0100,21.3289,143.6755,4.9980,45.0321,23.3357,-47.6976
7,image-000007.png,Raytrace,SIS/-6.044780765428101/14.415937677793146/38.82801522151912;SIS/5.033732402916166/-9.812012631564194/13.869475786901539;SIS/-35.91520491885828/-45.68339777547195/49.31449209567928;SIS/-42.47615469909021/-41.35639440463967/72.31192968845149,SersicSphere,31.0206,258.5732,47.8238,14.4555,63.8190,3.7653,40.4883,-6.1457,-30.4057
8,image-000008.png,Raytrace,SIS/-0.6184050622185474/-0.43579599989007073/10.709565710553019;SIS/2.0030276968785525/21.877069893332674/46.16326788488249;SIS/6.86897797076554/50.831622254830435/70.53949793135467;SIS/5.407975191363722/35.28595166161035/40.48156740217509,SersicSphere,9.3036,347.0789,47.2671,22.3726,157.0807,2.5973,55.4569,9.0681,-2.0804
9,image-000009.png,Raytrace,SIS/33.38677761877018/-56.7165343630482/64.67881767809781;SIS/-1.2354369336304005/-0.7792329299424681/38.43426102586075;SIS/0.99602784950453/0.04612396836141347/34.76174167342492;SIS/74.20846136056336/22.665821151941724/69.17195514625051,SersicSphere,44.9370,185.6298,5.1727,37.5181,8.6054,4.5614,21.5713,-44.7203,-4.4083
10,image-000010.png,Raytrace,SIS/65.59625903464706/-10.246044848499814/69.23843476026359;SIS/-30.52185905727516/-32.41774009205085/69.72140740744183;SIS/0.899413392779836/1.7534368377365686/41.25602506260859;SIS/0.9740736649370901/-0.4882881201409055/9.222556271305884,SersicSphere,54.0711,247.9268,37.3894,20.6120,3.7415,4.1259,49.8696,-20.3194,-50.1079
